"","lineage","i","k","j","min.sts","max.sts","length","lengthdays","c(NA, tmrca_all$size)","size","size_cat"
"15131","B.1",9,20,51,2020.28415300546,2020.41256830601,0.128415300546294,46.9999999999436,3,3,"3-5"
"15132","B.1",9,20,52,2020.23770491803,2020.2868852459,0.0491803278689531,18.0000000000368,2,2,"2"
"15133","B.1",9,20,53,2020.24043715847,2020.24863387978,0.0081967213113785,2.99999999996453,2,2,"2"
"15134","B.1",9,20,54,2020.32240437158,2020.32513661202,0.00273224043712617,0.999999999988177,2,2,"2"
"15135","B.1",9,20,55,2020.32240437158,2020.34426229508,0.0218579234972367,7.99999999998863,4,4,"3-5"
"15136","B.1",9,20,56,2020.2349726776,2020.24863387978,0.0136612021858582,5.0000000000241,2,2,"2"
"15137","B.1",9,20,57,2020.29781420765,2020.30601092896,0.00819672131160587,3.00000000004775,2,2,"2"
"15138","B.1",9,20,58,2020.19672131148,2020.57103825137,0.374316939890832,137.000000000045,18,18,"11-20"
"15139","B.1",9,20,59,2020.23770491803,2020.28415300546,0.0464480874318269,17.0000000000487,6,6,"6-10"
"15140","B.1",9,20,60,2020.2650273224,2020.3825136612,0.117486338797789,42.9999999999909,5,5,"3-5"
"15141","B.1",9,20,61,2020.1912568306,2020.66666666667,0.475409836065637,174.000000000023,671,671,"20+"
"15142","B.1.1",9,1,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15143","B.1.1",9,1,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15144","B.1.1",9,1,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15145","B.1.1",9,1,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15146","B.1.1",9,1,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15147","B.1.1",9,1,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15148","B.1.1",9,1,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15149","B.1.1",9,1,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15150","B.1.1",9,1,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15151","B.1.1",9,1,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15152","B.1.1",9,1,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15153","B.1.1",9,1,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15154","B.1.1",9,1,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15155","B.1.1",9,1,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15156","B.1.1",9,1,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15157","B.1.1",9,1,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15158","B.1.1",9,2,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15159","B.1.1",9,2,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15160","B.1.1",9,2,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15161","B.1.1",9,2,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15162","B.1.1",9,2,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15163","B.1.1",9,2,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15164","B.1.1",9,2,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15165","B.1.1",9,2,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15166","B.1.1",9,2,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15167","B.1.1",9,2,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15168","B.1.1",9,2,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15169","B.1.1",9,2,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15170","B.1.1",9,2,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15171","B.1.1",9,2,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15172","B.1.1",9,2,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15173","B.1.1",9,2,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15174","B.1.1",9,3,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15175","B.1.1",9,3,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15176","B.1.1",9,3,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15177","B.1.1",9,3,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15178","B.1.1",9,3,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15179","B.1.1",9,3,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
